PartitionDay,RecvTime,ExchTime,OrderId,ExecutionId,ContractId,Price,Volume,OrderDirection,PnL,Fee
20211210,637747268244245762,637747268240000000,3415116730000108,101000013017376,21002858,18.3,300,Sell,3.0,3.4
20211210,637747268248948630,637747268240000000,3415143730000062,9488125,11600905,6.92,1000,Buy,-4.0836,4.43
20211210,637747268253646565,637747268240000000,3415122580000046,9489906,11688008,77.68,200,Buy,40.5,9.94
20211210,637747268282945403,637747268270000000,3318119920000018,9502290,11600529,41.37,100,Buy,35.0,2.65
20211210,637747268287851612,637747268280000000,3415122330000050,9504391,11603158,16.46,500,Buy,5.6754,5.27
20211210,637747268293556338,637747268290000000,3415138940000112,9506644,11600110,20.15,200,Buy,-7.4472,2.58
20211210,637747268297679407,637747268290000000,3415126710000080,9507908,11600406,41.1,400,Buy,-52.775,10.52
20211210,637747268308845839,637747268300000000,3415139570000062,103000013126672,21300978,20.84,400,Buy,22.6667,5.17
20211210,637747268333082232,637747268330000000,3415119380000070,102000013287320,21000697,8.93,800,Sell,-0.1883,4.43
20211210,637747268337979408,637747268330000000,3415143260000046,9522865,11600681,6.17,100,Sell,1.6803,0.39
20211210,637747268341245545,637747268340000000,3415138260000046,103000013143524,21300223,139.8,100,Buy,-58.5,8.67
20211210,637747268375345754,637747268370000000,3415138540000060,103000013161302,21300253,14.63,500,Buy,21.7603,4.54
20211210,637747268376508425,637747268370000000,3415140820000072,9536955,11600219,4.79,1100,Buy,0.1719,3.37
20211210,637747268376509277,637747268370000000,3415140820000072,9536956,11600219,4.79,500,Buy,0.0781,1.53
20211210,637747268380593511,637747268380000000,3415126000000036,103000013163996,21002466,115.84,100,Sell,32.471,7.18
20211210,637747268386813080,637747268380000000,3415114530000024,9540675,11603766,5.14,100,Sell,0.5,0.33
20211210,637747268389160728,637747268380000000,3415133820000058,104000012769534,21300476,31.35,200,Sell,4.375,3.89
20211210,637747268403298391,637747268400000000,3415142920000046,104000012776093,21002046,16.33,400,Sell,15.4702,4.05
20211210,637747268410812903,637747268410000000,3415119820000018,101000013097395,21002307,4.12,100,Sell,0.9207,0.26
20211210,637747268410855943,637747268410000000,3415133280000114,104000012780732,21002389,27.65,200,Buy,-11.7984,3.43
20211210,637747268419575715,637747268410000000,3415144600000070,9553210,11605183,18.14,400,Sell,-10.5491,4.64
20211210,637747268423515444,637747268420000000,3415135850000118,102000013330312,21300636,18.15,1200,Buy,-12.0,13.5
20211210,637747268427278960,637747268420000000,3415117970000080,101000013106609,21002048,23.34,400,Sell,12.2607,5.79
20211210,637747268428579849,637747268420000000,3415115060000050,9556693,11601609,9.09,300,Sell,1.5,1.75
20211210,637747268441446271,637747268440000000,3415121060000058,102000013341134,21002416,11.58,500,Sell,6.7025,3.59
20211210,637747268442702983,637747268430000000,3415124560000066,9563100,11601216,5.73,1300,Buy,6.4997,4.77
20211210,637747268446070663,637747268440000000,3318119660000026,102000013344374,21002038,10.44,1600,Sell,0.0,10.36
20211210,637747268449146726,637747268440000000,3415142440000074,9566680,11601952,12.39,600,Sell,-7.8119,4.76
20211210,637747268453550762,637747268440000000,3415141040000064,9567596,11600389,37.88,200,Buy,-7.9112,4.85
20211210,637747268465617482,637747268460000000,3415121060000058,102000013356650,21002416,11.58,100,Sell,1.3405,0.72
20211210,637747268466530348,637747268460000000,3415117440000060,103000013215213,21002456,9.17,300,Sell,4.5,1.71
20211210,637747268466645672,637747268460000000,3415117440000060,103000013215215,21002456,9.17,500,Sell,7.5,2.84
20211210,637747268471612499,637747268470000000,3318114610000080,102000013361033,21002354,3.84,2900,Buy,0.0,6.9
20211210,637747268471613765,637747268470000000,3318112750000014,102000013361040,21002354,3.84,3500,Buy,0.0,8.33
20211210,637747268472555972,637747268470000000,3415140270000056,102000013361844,21002573,6.34,1100,Sell,-5.3835,4.32
20211210,637747268473500622,637747268470000000,3318109170000018,102000013362563,21002038,10.44,100,Sell,0.0,0.65
20211210,637747268475047314,637747268470000000,3415132840000096,102000013363607,21000877,13.81,1100,Sell,-24.2658,9.42
20211210,637747268481012381,637747268470000000,3415137720000092,9580271,11600079,20.92,1100,Sell,-1.0,14.73
20211210,637747268487440325,637747268480000000,3415134030000080,9583499,11600507,7.79,1900,Buy,-28.8009,9.47
