fips,cases,deaths,date
47133,4.783832143384441,3.0718820073061255,2022-01-26
47135,4.302763708472981,2.633468455579586,2022-01-26
47137,4.177536499929862,2.447158031342219,2022-01-26
47139,4.611192060868435,2.716003343634799,2022-01-26
47141,5.3266020919636485,3.4329692908744054,2022-01-26
47143,4.942603248842156,3.1367205671564067,2022-01-26
47145,5.123851640967086,3.2922560713564755,2022-01-26
47147,5.280532844451382,3.41161970596323,2022-01-26
47149,5.932047378606765,3.8987251815894934,2022-01-26
47151,4.855397996654068,2.982271233039568,2022-01-26
47153,4.557507201905658,2.7923916894982534,2022-01-26
47155,5.431235065245049,3.5526682161121927,2022-01-26
47157,6.337622964445177,4.459392487759231,2022-01-26
47159,4.718003168267018,2.832508912706236,2022-01-26
47161,4.45484486000851,2.6532125137753435,2022-01-26
47163,5.57966929355472,3.7686381012476144,2022-01-26
47165,5.675558390045223,3.79309160017658,2022-01-26
47167,5.201970342349048,3.281033367247727,2022-01-26
47169,4.578982842702791,2.6127838567197355,2022-01-26
47171,4.603685549614699,2.929418925714293,2022-01-26
47173,4.650210354660359,2.832508912706236,2022-01-26
47175,4.187520720836463,2.6532125137753435,2022-01-26
47177,5.0380237400451575,3.187520720836463,2022-01-26
47179,5.491389711929306,3.6273658565927325,2022-01-26
47181,4.699751031689514,2.716003343634799,2022-01-26
47183,4.923088515442398,3.045322978786657,2022-01-26
47185,4.846460825129332,3.0718820073061255,2022-01-26
47187,5.740962391261555,3.545307116465824,2022-01-26
47189,5.569982198058479,3.6374897295125104,2022-01-26
48001,4.961658348637715,3.3384564936046046,2022-01-26
48003,4.560265397862715,2.838849090737255,2022-01-26
48005,5.161787118745523,3.6424645202421213,2022-01-26
48007,4.539703238947825,2.845098040014257,2022-01-26
48009,4.284430733844519,2.380211241711606,2022-01-26
48011,3.6702458530741238,1.9030899869919433,2022-01-26
48013,5.080337823247566,3.332438459915605,2022-01-26
48015,4.6985354925620015,2.7781512503836434,2022-01-26
